Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
BOOL,Boolean or binary measure,Logička ili binarna mjera,Логичка или бинарна мјера,4,1
CON_USD,Constant USD,konstantni američki dolari,константни амерички долари,12,7
CU_USD,(nominal United States dollars),(nominalni američki dolari),(номинални амерички долари),1,1
CU_USD_B,(billions of nominal United States dollars),(milijarde nominalnih američkih dolara),(милијарде номиналних америчких долара),1,1
CU_USD_M,Millions of current United States dollars,Milioni tekućih američkih dolara,Mилиони текућих америчких долара,1,1
CUR_LCU,in BAM,u KM,у KM,33,1
CUR_LCU_M,Local currency (millions),Lokalna valuta (milioni),Локална валута (милиони),1,1
GPERM3,Micrograms per cubic meter,Mikrogrami po kubnom metru,Микрограми по кубном метру,5,1
HA_TH,HA_TH,Hiljade hektara,Хиљаде хектара,4,2
IX,Index,Index,Индеx,10,7
KG,Kilograms,Kilogrami,Килограми,5,3
KG_PER_CON_USD,Kilograms per constant USD,Kilogrami po konstanti američkog dolara,Килограми по константи америчког долара,39,4
KM2,Square kilometers,Kvadratnih kilometara,Квадратних километара,6,2
LITRES,LITRES,Litri,Литри,3,1
M_M3_PER_YR,Million of cubic metres per annum,Milion kubnih metara godišnje,Милион кубних метара годишње,9,1
MILLIONS,MILLIONS,Milioni,Милиони,1,1
MJ_PER_GDP_CON_PPP_USD,Megajoules per USD constant PPP GDP,Megadžula po konstantni američkog dolara PPP BDP,Мегаџула по константни америчког долара ППП БДП,1,1
MT_CO2E,Million tons of CO2 equivalent,Milion tona ekvivalenta CO2,Милион тона еквивалента CO2,1,1
NUMBER,Number,Broj,Број,109,30
P_KM,Passenger kilometres,Putnički kilometri,Путнички километри,3,1
PER_1000000_POP,Per million population,Na milion stanovnika,На милион становника,1,1
PER_100000_LIVE_BIRTHS,"Per 100,000 live births",Na 100 000 živorođenih,На 100.000 живорођених,1,1
PER_100000_POP,"Per 100,000 population",Na 100 000 stanovnika,На 100.000 становника,21,8
PER_10000_POP,"Per 10,000 population",Na 10 000 stanovnika,На 10 000 становника,4,1
PER_1000_LIVE_BIRTHS,"Per 1,000 live births",Na 1 000 živorođenih,На 1.000 живорођених,7,2
PER_1000_POP,"Per 1,000 population",Na 1 000 stanovnika,На 1.000 становника,1,1
PER_1000_UNINFECTED_POP,"Per 1,000 uninfected population",Na 1 000 nezaraženog stanovništva,На 1.000 незараженог становништва,9,1
PER_100_POP,Per 100 population,Na 100 stanovnika,На 100 становника,5,2
PT,Percent,Procenat,Проценат,495,95
RO,Ratio,Odnos,Однос,160,2
SCORE,Score,Rezultat,Резултат,3,3
T_KM,Tonne kilometres,Tonski kilometri,Тонски километри,4,1
THOUSANDS,THOUSANDS,Hiljade,Хиљаде,8,3
TONNES,TONNES,Tone,Тоне,90,5
TONNES_M,TONNES_M,Milioni tona,Милиони тона,2,1
USD,USD,Američki dolar,Амерички долар,7,6
USD/m3,USD/m3,USD/m3,Амерички долар/m3,2,1
